X,M
1877,22841
1878,22824
1879,22807
1880,22789
1881,22771
1882,22753
1883,22734
1884,22714
1885,22695
1886,22674
1887,22654
1888,22633
1889,22611
1890,22590
1891,22567
1892,22545
1893,22522
1894,22498
1895,22474
1896,22450
1897,22425
1898,22400
1899,22375
1900,22349
1901,22322
1902,22296
1903,22268
1904,22241
1905,22213
1906,22184
1907,22156
1908,22127
1909,22097
1910,22067
1911,22037
1912,22006
1913,21975
1914,21943
1915,21911
1916,21878
1917,21846
1918,21812
1919,21779
1920,21745
1921,21710
1922,21676
1923,21640
1924,21605
1925,21569
1926,21532
1927,21496
1928,21459
1929,21421
1930,21383
1931,21345
1932,21306
1933,21267
1934,21227
1935,21187
1936,21147
1937,21107
1938,21065
1939,21024
1940,20982
1941,20940
1942,20897
1943,20854
1944,20811
1945,20767
1946,20723
1947,20679
1948,20634
1949,20589
1950,20543
1951,20497
1952,20451
1953,20404
1954,20357
1955,20309
1956,20261
1957,20213
1958,20165
1959,20116
1960,20066
1961,20017
1962,19967
1963,19916
1964,19865
1965,19814
1966,19763
1967,19711
1968,19658
1969,19606
1970,19553
1971,19500
1972,19446
1973,19392
1974,19338
1975,19283
1976,19228
1977,19172
1978,19116
1979,19060
1980,19004
1981,18947
1982,18890
1983,18832
1984,18774
1985,18716
1986,18658
1987,18599
1988,18540
1989,18480
1990,18420
1991,18360
1992,18299
1993,18238
1994,18177
1995,18115
1996,18054
1997,17991
1998,17929
1999,17866
2000,17803
2001,17739
2002,17675
2003,17611
2004,17546
2005,17482
2006,17416
2007,17351
2008,17285
2009,17219
2010,17153
2011,17086
2012,17019
2013,16952
2014,16884
2015,16816
2016,16748
2017,16679
2018,16610
2019,16541
2020,16471
2021,16402
2022,16331
2023,16261
2024,16190
2025,16119
2026,16048
2027,15976
2028,15905
2029,15832
2030,15760
2031,15687
2032,15614
2033,15541
2034,15467
2035,15393
2036,15319
2037,15245
2038,15170
2039,15095
2040,15020
2041,14944
2042,14868
2043,14792
2044,14716
2045,14639
2046,14562
2047,14485
2048,14408
2049,14330
2050,14252
2051,14174
2052,14096
2053,14017
2054,13938
2055,13859
2056,13779
2057,13699
2058,13619
2059,13539
2060,13459
2061,13378
2062,13297
2063,13216
2064,13134
2065,13052
2066,12970
2067,12888
2068,12806
2069,12723
2070,12640
2071,12557
2072,12474
2073,12390
2074,12307
2075,12222
2076,12138
2077,12054
2078,11969
2079,11884
2080,11799
2081,11714
2082,11628
2083,11542
2084,11456
2085,11370
2086,11284
2087,11197
2088,11110
2089,11023
2090,10936
2091,10849
2092,10761
2093,10673
2094,10585
2095,10497
2096,10409
2097,10320
2098,10231
2099,10142
2100,10053
2101,9964
2102,9875
2103,9785
2104,9695
2105,9605
2106,9515
2107,9424
2108,9334
2109,9243
2110,9152
2111,9061
2112,8970
2113,8878
2114,8787
2115,8695
2116,8603
2117,8511
2118,8419
2119,8327
2120,8234
2121,8142
2122,8049
2123,7956
2124,7863
2125,7769
2126,7676
2127,7583
2128,7489
2129,7395
2130,7301
2131,7207
2132,7113
2133,7019
2134,6924
2135,6830
2136,6735
2137,6640
2138,6545
2139,6450
2140,6355
2141,6260
2142,6164
2143,6069
2144,5973
2145,5877
2146,5781
2147,5686
2148,5589
2149,5493
2150,5397
2151,5301
2152,5204
2153,5108
2154,5011
2155,4914
2156,4817
2157,4721
2158,4624
2159,4526
2160,4429
2161,4332
2162,4235
2163,4137
2164,4040
2165,3942
2166,3845
2167,3747
2168,3649
2169,3551
2170,3453
2171,3355
2172,3257
2173,3159
2174,3061
2175,2963
2176,2865
2177,2766
2178,2668
2179,2570
2180,2471
2181,2373
2182,2274
2183,2176
2184,2077
2185,1978
2186,1880
2187,1781
2188,1682
2189,1583
2190,1485
2191,1386
2192,1287
2193,1188
2194,1089
2195,990
2196,891
2197,792
2198,693
2199,594
2200,495
2201,396
2202,297
2203,198
2204,99
2205,0
2206,-99
2207,-198
2208,-297
2209,-396
2210,-495
2211,-594
2212,-693
2213,-792
2214,-891
2215,-990
2216,-1089
2217,-1188
2218,-1287
2219,-1386
2220,-1485
2221,-1583
2222,-1682
2223,-1781
2224,-1880
2225,-1978
2226,-2077
2227,-2176
2228,-2274
2229,-2373
2230,-2471
2231,-2570
2232,-2668
2233,-2766
2234,-2865
2235,-2963
2236,-3061
2237,-3159
2238,-3257
2239,-3355
2240,-3453
2241,-3551
2242,-3649
2243,-3747
2244,-3845
2245,-3942
2246,-4040
2247,-4137
2248,-4235
2249,-4332
2250,-4429
2251,-4526
2252,-4624
2253,-4721
2254,-4817
2255,-4914
2256,-5011
2257,-5108
2258,-5204
2259,-5301
2260,-5397
2261,-5493
2262,-5589
2263,-5686
2264,-5781
2265,-5877
2266,-5973
2267,-6069
2268,-6164
2269,-6260
2270,-6355
2271,-6450
2272,-6545
2273,-6640
2274,-6735
2275,-6830
2276,-6924
2277,-7019
2278,-7113
2279,-7207
2280,-7301
2281,-7395
2282,-7489
2283,-7583
2284,-7676
2285,-7769
2286,-7863
2287,-7956
2288,-8049
2289,-8142
2290,-8234
2291,-8327
2292,-8419
2293,-8511
2294,-8603
2295,-8695
2296,-8787
2297,-8878
2298,-8970
2299,-9061
2300,-9152
2301,-9243
2302,-9334
2303,-9424
2304,-9515
2305,-9605
2306,-9695
2307,-9785
2308,-9875
2309,-9964
2310,-10053
2311,-10142
2312,-10231
2313,-10320
2314,-10409
2315,-10497
2316,-10585
2317,-10673
2318,-10761
2319,-10849
2320,-10936
2321,-11023
2322,-11110
2323,-11197
2324,-11284
2325,-11370
2326,-11456
2327,-11542
2328,-11628
2329,-11714
2330,-11799
2331,-11884
2332,-11969
2333,-12054
2334,-12138
2335,-12222
2336,-12307
2337,-12390
2338,-12474
2339,-12557
2340,-12640
2341,-12723
2342,-12806
2343,-12888
2344,-12970
2345,-13052
2346,-13134
2347,-13216
2348,-13297
2349,-13378
2350,-13459
2351,-13539
2352,-13619
2353,-13699
2354,-13779
2355,-13859
2356,-13938
2357,-14017
2358,-14096
2359,-14174
2360,-14252
